key,service,resource_name,cfn_type,c7n_name,spec_resource_type,discovery_id,operation,items_for,hops,collectable,id_field,id_field_source,cfn_primary_id,arn_field,arn_type,arn_separator,id_prefix,global_resource,taggable,inspectable,sources,asset_class,identity_rule,parent_params,arn_strategy,arn_quality,tier,name_field
quicksight.template,quicksight,Template,AWS::QuickSight::Template,,,,,,,no,AwsAccountId,cfn,"AwsAccountId,TemplateId",Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
quicksight.theme,quicksight,Theme,AWS::QuickSight::Theme,,,,,,,no,ThemeId,cfn,"ThemeId,AwsAccountId",Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
quicksight.topic,quicksight,Topic,AWS::QuickSight::Topic,,,,,,,no,AwsAccountId,cfn,"AwsAccountId,TopicId",Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
quicksight.vpc_connection,quicksight,VPCConnection,AWS::QuickSight::VPCConnection,,,,,,,no,AwsAccountId,cfn,"AwsAccountId,VPCConnectionId",Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
ram.permission,ram,Permission,AWS::RAM::Permission,,,aws.ram.list_permission_associations,list_permission_associations,{{ response.permissions }},0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,artifact,none,,none,none,excluded,
rbin.tags_for_resource,rbin,tags_for_resource,,,,aws.rbin.list_tags_for_resource,list_tags_for_resource,{{ response.Tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rds.custom_db_engine_version,rds,CustomDBEngineVersion,AWS::RDS::CustomDBEngineVersion,,,,,,,no,Engine,cfn,"Engine,EngineVersion",DBEngineVersionArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
rds.db_cluster_automated_backup,rds,db_cluster_automated_backup,,,rds_db_cluster_automated_backup,aws.rds.describe_db_cluster_automated_backups,describe_db_cluster_automated_backups,{{ response.DBClusterAutomatedBackups }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rds.db_cluster_snapshot_attribute,rds,db_cluster_snapshot_attribute,,,rds_db_cluster_snapshot_attribute,aws.rds.describe_db_cluster_snapshot_attributes,describe_db_cluster_snapshot_attributes,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rds.db_engine_version,rds,db_engine_version,,,rds_db_engine_version,aws.rds.describe_db_engine_versions,describe_db_engine_versions,{{ response.DBEngineVersions }},0,yes,DBEngineVersionArn,spec-qualified,,DBEngineVersionArn,,,,,,yes,spec,artifact,none,,none,none,excluded,
rds.db_instance_automated_backup,rds,db_instance_automated_backup,,,rds_db_instance_automated_backup,aws.rds.describe_db_instance_automated_backups,describe_db_instance_automated_backups,{{ response.DBInstanceAutomatedBackups }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rds.db_proxy_target_group,rds,DBProxyTargetGroup,AWS::RDS::DBProxyTargetGroup,,,,,,,no,TargetGroupArn,cfn,TargetGroupArn,TargetGroupArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
rds.db_recommendation,rds,db_recommendation,,,rds_db_recommendation,aws.rds.describe_db_recommendations,describe_db_recommendations,{{ response.DBRecommendations }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rds.db_security_group_ingress,rds,DBSecurityGroupIngress,AWS::RDS::DBSecurityGroupIngress,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
rds.db_snapshot_attribute,rds,db_snapshot_attribute,,,rds_db_snapshot,aws.rds.describe_db_snapshot_attributes,describe_db_snapshot_attributes,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rds.tenant_databas,rds,tenant_databas,,,rds_tenant_databas,aws.rds.describe_tenant_databases,describe_tenant_databases,{{ response.TenantDatabases }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift.cluster_db_revision,redshift,cluster_db_revision,,,,aws.redshift.describe_cluster_db_revisions,describe_cluster_db_revisions,{{ response.ClusterDbRevisions }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift.cluster_security_group_ingress,redshift,ClusterSecurityGroupIngress,AWS::Redshift::ClusterSecurityGroupIngress,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
redshift.data_shares_for_producer,redshift,data_shares_for_producer,,,,aws.redshift.describe_data_shares_for_producer,describe_data_shares_for_producer,{{ response.DataShares }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift.integration,redshift,Integration,AWS::Redshift::Integration,,,aws.redshift.describe_integrations,describe_integrations,{{ response.Integrations }},0,yes,IntegrationArn,cfn,IntegrationArn,IntegrationArn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
redshift.recommendation,redshift,recommendation,,,,aws.redshift.list_recommendations,list_recommendations,{{ response.Recommendations }},0,yes,Id,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift.redshift_reserved,redshift,redshift-reserved,,redshift-reserved,,,,,,no,ReservedNodeId,c7n,,,reserved-nodes,/,,false,,yes,c7n,artifact,none,,none,none,excluded,ReservedNodeId
redshift-data.statement_result,redshift-data,statement_result,,,,aws.redshift-data.get_statement_result,get_statement_result,{{ response.Records }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift-data.statement_result_v2,redshift-data,statement_result_v2,,,,aws.redshift-data.get_statement_result_v2,get_statement_result_v2,{{ response.Records }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift-serverless.managed_workgroup,redshift-serverless,managed_workgroup,,,,aws.redshift-serverless.list_managed_workgroups,list_managed_workgroups,{{ response.managedWorkgroups }},0,yes,managedWorkgroupId,spec-qualified,,,managed-workgroup,,,,,yes,spec,asset,own_id,,construct,real,excluded,
redshift-serverless.reservation,redshift-serverless,reservation,,,,aws.redshift-serverless.get_reservation,get_reservation,,1,yes,reservationArn,spec-qualified,,reservationArn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
redshift-serverless.reservation_offering,redshift-serverless,reservation_offering,,,,aws.redshift-serverless.get_reservation_offering,get_reservation_offering,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift-serverless.tags_for_resource,redshift-serverless,tags_for_resource,,,,aws.redshift-serverless.list_tags_for_resource,list_tags_for_resource,{{ response.tags }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift-serverless.track,redshift-serverless,track,,,,aws.redshift-serverless.get_track,get_track,,1,yes,trackName,spec-qualified,,,track,,,,,yes,spec,asset,own_id,,construct,real,excluded,
redshift-serverless.usage_limit,redshift-serverless,usage_limit,,,,aws.redshift-serverless.get_usage_limit,get_usage_limit,,1,yes,usageLimitArn,spec-qualified,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
redshift-serverless.namespace,redshiftserverless,Namespace,AWS::RedshiftServerless::Namespace,,,,,,,no,NamespaceName,cfn,NamespaceName,NamespaceArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
redshift-serverless.snapshot,redshiftserverless,Snapshot,AWS::RedshiftServerless::Snapshot,,,,,,,no,SnapshotName,cfn,SnapshotName,NamespaceArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
redshift-serverless.workgroup,redshiftserverless,Workgroup,AWS::RedshiftServerless::Workgroup,,,,,,,no,WorkgroupName,cfn,WorkgroupName,WorkgroupArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
refactorspaces.application,refactorspaces,Application,AWS::RefactorSpaces::Application,,,,,,,no,EnvironmentIdentifier,cfn,"EnvironmentIdentifier,ApplicationIdentifier",Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
refactorspaces.environment,refactorspaces,Environment,AWS::RefactorSpaces::Environment,,,,,,,no,EnvironmentIdentifier,cfn,EnvironmentIdentifier,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
refactorspaces.route,refactorspaces,Route,AWS::RefactorSpaces::Route,,,,,,,no,EnvironmentIdentifier,cfn,"EnvironmentIdentifier,ApplicationIdentifier,RouteIdentifier",Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
refactorspaces.service,refactorspaces,Service,AWS::RefactorSpaces::Service,,,,,,,no,EnvironmentIdentifier,cfn,"EnvironmentIdentifier,ApplicationIdentifier,ServiceIdentifier",Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
rekognition.face_liveness_session_result,rekognition,face_liveness_session_result,,,,aws.rekognition.get_face_liveness_session_results,get_face_liveness_session_results,{{ response.AuditImages }},0,yes,Name,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rekognition.media_analysis_job,rekognition,media_analysis_job,,,,aws.rekognition.list_media_analysis_jobs,list_media_analysis_jobs,{{ response.MediaAnalysisJobs }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rekognition.tags_for_resource,rekognition,tags_for_resource,,,,aws.rekognition.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
repostspace.channel,repostspace,channel,,,,aws.repostspace.get_channel,get_channel,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
repostspace.tags_for_resource,repostspace,tags_for_resource,,,,aws.repostspace.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
required.resource,required,resource,,,,aws.required.get_resources,get_resources,{{ response.ResourceTagMappingList }},0,yes,ResourceARN,spec-qualified,,ResourceARN,,,,,,yes,spec,asset,own_id,,field,real,excluded,
resiliencehub.alarm_recommendation,resiliencehub,alarm_recommendation,,,,aws.resiliencehub.list_alarm_recommendations,list_alarm_recommendations,{{ response.alarmRecommendations }},1,yes,name,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.app_assessment_resource_drift,resiliencehub,app_assessment_resource_drift,,,,aws.resiliencehub.list_app_assessment_resource_drifts,list_app_assessment_resource_drifts,{{ response.resourceDrifts }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.app_component_recommendation,resiliencehub,app_component_recommendation,,,,aws.resiliencehub.list_app_component_recommendations,list_app_component_recommendations,{{ response.componentRecommendations }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.metric,resiliencehub,metric,,,,aws.resiliencehub.list_metrics,list_metrics,{{ response.rows }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.metrics_export,resiliencehub,metrics_export,,,,aws.resiliencehub.describe_metrics_export,describe_metrics_export,,0,yes,metricsExportId,spec-qualified,,,metrics-export,,,,,yes,spec,asset,own_id,,construct,real,excluded,
resiliencehub.resource_grouping_recommendation,resiliencehub,resource_grouping_recommendation,,,,aws.resiliencehub.list_resource_grouping_recommendations,list_resource_grouping_recommendations,{{ response.groupingRecommendations }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.resource_grouping_recommendation_task,resiliencehub,resource_grouping_recommendation_task,,,,aws.resiliencehub.describe_resource_grouping_recommendation_task,describe_resource_grouping_recommendation_task,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.sop_recommendation,resiliencehub,sop_recommendation,,,,aws.resiliencehub.list_sop_recommendations,list_sop_recommendations,{{ response.sopRecommendations }},1,yes,name,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.suggested_resiliency_policy,resiliencehub,suggested_resiliency_policy,,,,aws.resiliencehub.list_suggested_resiliency_policies,list_suggested_resiliency_policies,{{ response.resiliencyPolicies }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.tags_for_resource,resiliencehub,tags_for_resource,,,,aws.resiliencehub.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehub.test_recommendation,resiliencehub,test_recommendation,,,,aws.resiliencehub.list_test_recommendations,list_test_recommendations,{{ response.testRecommendations }},1,yes,id,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resiliencehubv2.policy,resiliencehubv2,Policy,AWS::ResilienceHubV2::Policy,,,,,,,no,PolicyArn,cfn,PolicyArn,PolicyArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
resiliencehubv2.service,resiliencehubv2,Service,AWS::ResilienceHubV2::Service,,,,,,,no,ServiceArn,cfn,ServiceArn,ServiceArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
resiliencehubv2.service_function,resiliencehubv2,ServiceFunction,AWS::ResilienceHubV2::ServiceFunction,,,,,,,no,ServiceArn,cfn,"ServiceArn,ServiceFunctionId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
resiliencehubv2.system,resiliencehubv2,System,AWS::ResilienceHubV2::System,,,,,,,no,SystemArn,cfn,SystemArn,SystemArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
resiliencehubv2.user_journey,resiliencehubv2,UserJourney,AWS::ResilienceHubV2::UserJourney,,,,,,,no,SystemIdentifier,cfn,"SystemIdentifier,UserJourneyId",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
resource-explorer-2.managed_view,resource-explorer-2,managed_view,,,,aws.resource-explorer-2.get_managed_view,get_managed_view,,0,yes,ManagedViewArn,spec-qualified,,ManagedViewArn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
resource-explorer-2.resource,resource-explorer-2,resource,,,,aws.resource-explorer-2.list_resources,list_resources,{{ response.Resources }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-explorer-2.resource_explorer_setup,resource-explorer-2,resource_explorer_setup,,,,aws.resource-explorer-2.get_resource_explorer_setup,get_resource_explorer_setup,{{ response.Regions }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-explorer-2.service_index,resource-explorer-2,service_index,,,,aws.resource-explorer-2.get_service_index,get_service_index,,0,yes,Arn,spec-bare,,Arn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
resource-explorer-2.service_view,resource-explorer-2,service_view,,,,aws.resource-explorer-2.get_service_view,get_service_view,,0,yes,ServiceViewArn,spec-qualified,,ServiceViewArn,,,,,,yes,spec,asset,own_id,,field,real,excluded,
resource-explorer-2.streaming_access_for_service,resource-explorer-2,streaming_access_for_service,,,,aws.resource-explorer-2.list_streaming_access_for_services,list_streaming_access_for_services,{{ response.StreamingAccessForServices }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-explorer-2.tags_for_resource,resource-explorer-2,tags_for_resource,,,,aws.resource-explorer-2.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-groups.account_setting,resource-groups,account_setting,,,,aws.resource-groups.get_account_settings,get_account_settings,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-groups.grouping_status,resource-groups,grouping_status,,,,aws.resource-groups.list_grouping_statuses,list_grouping_statuses,{{ response.GroupingStatuses }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-groups.tag,resource-groups,tag,,,,aws.resource-groups.get_tags,get_tags,,0,yes,Arn,spec-bare,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-groups.tag_sync_task,resource-groups,tag_sync_task,,,,aws.resource-groups.get_tag_sync_task,get_tag_sync_task,,1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resource-explorer-2.default_view_association,resourceexplorer2,DefaultViewAssociation,AWS::ResourceExplorer2::DefaultViewAssociation,,,,,,,no,AssociatedAwsPrincipal,cfn,AssociatedAwsPrincipal,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
resource-explorer-2.index,resourceexplorer2,Index,AWS::ResourceExplorer2::Index,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
resource-explorer-2.view,resourceexplorer2,View,AWS::ResourceExplorer2::View,,,,,,,no,ViewArn,cfn,ViewArn,ViewArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
resource-groups.group,resourcegroups,Group,AWS::ResourceGroups::Group,,,,,,,no,Name,cfn,Name,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
resourcegroupstaggingapi.compliance_summary,resourcegroupstaggingapi,compliance_summary,,,,aws.resourcegroupstaggingapi.get_compliance_summary,get_compliance_summary,{{ response.SummaryList }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resourcegroupstaggingapi.required_tag,resourcegroupstaggingapi,required_tag,,,,aws.resourcegroupstaggingapi.list_required_tags,list_required_tags,{{ response.RequiredTags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
resourcegroupstaggingapi.resource,resourcegroupstaggingapi,resource,,,,aws.resourcegroupstaggingapi.get_resources,get_resources,{{ response.ResourceTagMappingList }},0,yes,ResourceARN,spec-qualified,,ResourceARN,,,,,,yes,spec,artifact,none,,none,none,excluded,
resourcegroupstaggingapi.tag_key,resourcegroupstaggingapi,tag_key,,,,aws.resourcegroupstaggingapi.get_tag_keys,get_tag_keys,{{ response.TagKeys }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
robomaker.robot_application_version,robomaker,RobotApplicationVersion,AWS::RoboMaker::RobotApplicationVersion,,,,,,,no,Arn,cfn,Arn,Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
robomaker.simulation_application_version,robomaker,SimulationApplicationVersion,AWS::RoboMaker::SimulationApplicationVersion,,,,,,,no,Arn,cfn,Arn,Arn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
rolesanywhere.tags_for_resource,rolesanywhere,tags_for_resource,,,,aws.rolesanywhere.list_tags_for_resource,list_tags_for_resource,{{ response.tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
route53.dnssec,route53,DNSSEC,AWS::Route53::DNSSEC,,,,,,,no,HostedZoneId,cfn,HostedZoneId,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
route53.key_signing_key,route53,KeySigningKey,AWS::Route53::KeySigningKey,,,,,,,no,HostedZoneId,cfn,"HostedZoneId,Name",,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
route53.record_set,route53,RecordSet,AWS::Route53::RecordSet,rrset,,,,,,no,Name,c7n,Id,,rrset,/,,true,no,no,cfn+c7n,artifact,none,,none,none,excluded,Name
route53.record_set_group,route53,RecordSetGroup,AWS::Route53::RecordSetGroup,,,,,,,no,Id,cfn,Id,,,,,,no,no,cfn,artifact,none,,none,none,excluded,
route53-recovery-control-config.tags_for_resource,route53-recovery-control-config,tags_for_resource,,,,aws.route53-recovery-control-config.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
route53-recovery-readiness.architecture_recommendation,route53-recovery-readiness,architecture_recommendation,,,,aws.route53-recovery-readiness.get_architecture_recommendations,get_architecture_recommendations,{{ response.Recommendations }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
route53-recovery-readiness.cell_readiness_summary,route53-recovery-readiness,cell_readiness_summary,,,,aws.route53-recovery-readiness.get_cell_readiness_summary,get_cell_readiness_summary,{{ response.ReadinessChecks }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
route53-recovery-readiness.recovery_group_readiness_summary,route53-recovery-readiness,recovery_group_readiness_summary,,,,aws.route53-recovery-readiness.get_recovery_group_readiness_summary,get_recovery_group_readiness_summary,{{ response.ReadinessChecks }},1,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
route53-recovery-readiness.tags_for_resource,route53-recovery-readiness,tags_for_resource,,,,aws.route53-recovery-readiness.list_tags_for_resources,list_tags_for_resources,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
route53globalresolver.access_source,route53globalresolver,AccessSource,AWS::Route53GlobalResolver::AccessSource,,,,,,,no,AccessSourceId,cfn,AccessSourceId,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
route53globalresolver.access_token,route53globalresolver,AccessToken,AWS::Route53GlobalResolver::AccessToken,,,,,,,no,AccessTokenId,cfn,AccessTokenId,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
route53globalresolver.dns_view,route53globalresolver,DnsView,AWS::Route53GlobalResolver::DnsView,,,,,,,no,DnsViewId,cfn,DnsViewId,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
route53globalresolver.firewall_domain_list,route53globalresolver,FirewallDomainList,AWS::Route53GlobalResolver::FirewallDomainList,,,,,,,no,FirewallDomainListId,cfn,FirewallDomainListId,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
route53globalresolver.firewall_rule,route53globalresolver,FirewallRule,AWS::Route53GlobalResolver::FirewallRule,,,,,,,no,FirewallRuleId,cfn,FirewallRuleId,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
route53globalresolver.global_resolver,route53globalresolver,GlobalResolver,AWS::Route53GlobalResolver::GlobalResolver,,,,,,,no,GlobalResolverId,cfn,GlobalResolverId,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
route53globalresolver.hosted_zone_association,route53globalresolver,HostedZoneAssociation,AWS::Route53GlobalResolver::HostedZoneAssociation,,,,,,,no,HostedZoneAssociationId,cfn,HostedZoneAssociationId,ResourceArn,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
route53profiles.profile,route53profiles,Profile,AWS::Route53Profiles::Profile,,,aws.route53profiles.list_profiles,list_profiles,{{ response.ProfileSummaries }},0,yes,Id,cfn,Id,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
route53profiles.profile_association,route53profiles,ProfileAssociation,AWS::Route53Profiles::ProfileAssociation,,,aws.route53profiles.list_profile_associations,list_profile_associations,{{ response.ProfileAssociations }},0,yes,Id,cfn,Id,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
route53profiles.profile_resource_association,route53profiles,ProfileResourceAssociation,AWS::Route53Profiles::ProfileResourceAssociation,,,aws.route53profiles.get_profile_resource_association,get_profile_resource_association,,0,yes,Id,cfn,Id,ResourceArn,,,,,no,yes,cfn+spec,asset,own_id,,field,real,excluded,
route53profiles.tags_for_resource,route53profiles,tags_for_resource,,,,aws.route53profiles.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
route53resolver.resolver_query_logging_config_association,route53resolver,ResolverQueryLoggingConfigAssociation,AWS::Route53Resolver::ResolverQueryLoggingConfigAssociation,,,,,,,no,Id,cfn,Id,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
route53resolver.tags_for_resource,route53resolver,tags_for_resource,,,,aws.route53resolver.list_tags_for_resource,list_tags_for_resource,{{ response.Tags }},0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rtbfabric.inbound_external_link,rtbfabric,InboundExternalLink,AWS::RTBFabric::InboundExternalLink,,,aws.rtbfabric.get_inbound_external_link,get_inbound_external_link,{{ response.flowModules }},0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
rtbfabric.link,rtbfabric,Link,AWS::RTBFabric::Link,,,aws.rtbfabric.list_links,list_links,{{ response.links }},0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
rtbfabric.link_routing_rule,rtbfabric,LinkRoutingRule,AWS::RTBFabric::LinkRoutingRule,,,,,,,no,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
rtbfabric.outbound_external_link,rtbfabric,OutboundExternalLink,AWS::RTBFabric::OutboundExternalLink,,,aws.rtbfabric.get_outbound_external_link,get_outbound_external_link,,0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
rtbfabric.requester_gateway,rtbfabric,RequesterGateway,AWS::RTBFabric::RequesterGateway,,,aws.rtbfabric.list_requester_gateways,list_requester_gateways,{{ response.gatewayIds }},0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
rtbfabric.responder_gateway,rtbfabric,ResponderGateway,AWS::RTBFabric::ResponderGateway,,,aws.rtbfabric.list_responder_gateways,list_responder_gateways,{{ response.gatewayIds }},0,yes,Arn,cfn,Arn,Arn,,,,,yes,yes,cfn+spec,asset,own_id,,field,real,excluded,
rtbfabric.tags_for_resource,rtbfabric,tags_for_resource,,,,aws.rtbfabric.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rum.resource_policy,rum,resource_policy,,,,aws.rum.get_resource_policy,get_resource_policy,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
rum.tags_for_resource,rum,tags_for_resource,,,,aws.rum.list_tags_for_resource,list_tags_for_resource,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
s3.access_grant,s3,AccessGrant,AWS::S3::AccessGrant,,,,,,,no,AccessGrantId,cfn,AccessGrantId,AccessGrantArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
s3.access_grants_instance,s3,AccessGrantsInstance,AWS::S3::AccessGrantsInstance,,,,,,,no,AccessGrantsInstanceArn,cfn,AccessGrantsInstanceArn,AccessGrantsInstanceArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
s3.access_grants_location,s3,AccessGrantsLocation,AWS::S3::AccessGrantsLocation,,,,,,,no,AccessGrantsLocationId,cfn,AccessGrantsLocationId,AccessGrantsLocationArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
s3.access_point,s3,AccessPoint,AWS::S3::AccessPoint,s3-access-point,,aws.s3control.list_access_points,list_access_points,{{ response.AccessPointList }},0,yes,Name,c7n,Name,AccessPointArn,accesspoint,/,,false,yes,yes,cfn+c7n+spec,asset,own_id,,field,real,excluded,Name
s3.multi_region_access_point,s3,MultiRegionAccessPoint,AWS::S3::MultiRegionAccessPoint,s3-access-point-multi,,aws.s3control.list_multi_region_access_points,list_multi_region_access_points,{{ response.AccessPoints }},0,yes,Name,c7n,Name,,accesspoint,/,,false,no,yes,cfn+c7n+spec,asset,own_id,,construct,real,excluded,Name
s3.multi_region_access_point_policy,s3,MultiRegionAccessPointPolicy,AWS::S3::MultiRegionAccessPointPolicy,,,,,,,no,MrapName,cfn,MrapName,,,,,,no,yes,cfn,artifact,none,,none,none,excluded,
s3.storage_lens,s3,StorageLens,AWS::S3::StorageLens,s3-storage-lens,,aws.s3control.list_storage_lens_configurations,list_storage_lens_configurations,{{ response.StorageLensConfigurationList }},0,yes,Id,c7n,Id,StorageLensArn,storage-lens,/,,false,yes,yes,cfn+c7n+spec,asset,own_id,,field,real,excluded,Id
s3.storage_lens_group,s3,StorageLensGroup,AWS::S3::StorageLensGroup,,,,,,,no,Name,cfn,Name,StorageLensGroupArn,,,,,yes,yes,cfn,artifact,none,,none,none,excluded,
s3control.access_point_scope,s3control,access_point_scope,,,,aws.s3control.get_access_point_scope,get_access_point_scope,,0,yes,,,,,,,,,,yes,spec,artifact,none,,none,none,excluded,
s3control.access_points_for_directory_bucket,s3control,access_points_for_directory_bucket,,,,aws.s3control.list_access_points_for_directory_buckets,list_access_points_for_directory_buckets,{{ response.AccessPointList }},0,yes,Name,spec-bare,,,access-points-for-directory-bucket,,,,,yes,spec,asset,own_id,,construct,real,excluded,
