key,service,layer_id,layer_name,kind,overlay_group,rule,notes
iam.groups_for_user,iam,G0,global,spatial,identity,global-service,iam has no region
iam.iam_certificate,iam,G0,global,spatial,identity,global-service,iam has no region
iam.iam_oidc_provider,iam,G0,global,spatial,identity,global-service,iam has no region
iam.saml_provider,iam,G0,global,spatial,identity,global-service,iam has no region
iam.instance_profile,iam,G0,global,spatial,identity,global-service,iam has no region
iam.instance_profiles_for_role,iam,G0,global,spatial,identity,global-service,iam has no region
iam.managed_policy,iam,G0,global,spatial,identity,global-service,iam has no region
iam.mfa_device,iam,G0,global,spatial,identity,global-service,iam has no region
iam.oidc_provider,iam,G0,global,spatial,identity,global-service,iam has no region
iam.open_id_connect_provider,iam,G0,global,spatial,identity,global-service,iam has no region
iam.policy,iam,G0,global,spatial,identity,global-service,iam has no region
iam.policy_version,iam,G0,global,spatial,identity,global-service,iam has no region
iam.role,iam,G0,global,spatial,identity,global-service,iam has no region
iam.role_policy,iam,G0,global,spatial,identity,global-service,iam has no region
iam.service_linked_role,iam,G0,global,spatial,identity,global-service,iam has no region
iam.signing_certificate,iam,G0,global,spatial,identity,global-service,iam has no region
iam.user,iam,G0,global,spatial,identity,global-service,iam has no region
iam.user_policy,iam,G0,global,spatial,identity,global-service,iam has no region
iam.user_to_group_addition,iam,G0,global,spatial,identity,global-service,iam has no region
iam.virtual_mfa_device,iam,G0,global,spatial,identity,global-service,iam has no region
identitystore.group,identitystore,G0,global,spatial,identity,global-service,identitystore has no region
identitystore.group_membership,identitystore,G0,global,spatial,identity,global-service,identitystore has no region
identitystore.user,identitystore,G0,global,spatial,identity,global-service,identitystore has no region
organizations.account,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.accounts_with_invalid_effective_policy,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.delegated_administrator,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.effective_policy,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.policy,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.org_unit,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.organization,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.organizational_unit,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.outbound_responsibility_transfer,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.policies_for_target,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.resource_policy,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.responsibility_transfer,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.root,organizations,G0,global,spatial,identity,global-service,organizations has no region
organizations.targets_for_policy,organizations,G0,global,spatial,identity,global-service,organizations has no region
route53.cidr_collection,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.dnssec,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.health_check,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.hosted_zone,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.key_signing_key,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.query_logging_config,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.record_set,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.record_set_group,route53,G0,global,spatial,dns,global-service,route53 has no region
route53.traffic_policy_instance,route53,G0,global,spatial,dns,global-service,route53 has no region
route53domains.contact_reachability_status,route53domains,G0,global,spatial,dns,global-service,route53domains has no region
route53domains.domain_detail,route53domains,G0,global,spatial,dns,global-service,route53domains has no region
route53domains.domain_suggestion,route53domains,G0,global,spatial,dns,global-service,route53domains has no region
route53domains.operation,route53domains,G0,global,spatial,dns,global-service,route53domains has no region
route53domains.operation_detail,route53domains,G0,global,spatial,dns,global-service,route53domains has no region
route53domains.r53domain,route53domains,G0,global,spatial,dns,global-service,route53domains has no region
route53domains.tags_for_domain,route53domains,G0,global,spatial,dns,global-service,route53domains has no region
shield.drt_access,shield,G0,global,spatial,identity,global-service,shield has no region
shield.proactive_engagement,shield,G0,global,spatial,identity,global-service,shield has no region
shield.protection,shield,G0,global,spatial,identity,global-service,shield has no region
shield.protection_group,shield,G0,global,spatial,identity,global-service,shield has no region
shield.shield_attack,shield,G0,global,spatial,identity,global-service,shield has no region
shield.subscription,shield,G0,global,spatial,identity,global-service,shield has no region
sso-admin.account_assignment,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.account_assignment_creation_status,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.account_assignment_deletion_status,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.account_assignments_for_principal,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application_access_scope,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application_assignment,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application_assignment_configuration,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application_assignments_for_principal,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application_authentication_method,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application_grant,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
sso-admin.application_provider,sso-admin,G0,global,spatial,identity,global-service,sso-admin has no region
