key,service,icon_name,icon_class,icon_category,icon_file,match_level
resiliencehub.resiliency_policy,resiliencehub,resiliencehub,,,,none
resiliencehub.unsupported_app_version_resource,resiliencehub,resiliencehub,,,,none
resource-explorer-2.account_level_service_configuration,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.default_view,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.index,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.indexes_for_member,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.managed_view,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.search,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.service_index,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.service_view,resource-explorer-2,resource-explorer-2,,,,none
resource-explorer-2.view,resource-explorer-2,resource-explorer-2,,,,none
resource-groups.group,resource-groups,resource-groups,,,,none
resource-groups.group_configuration,resource-groups,resource-groups,,,,none
resource-groups.group_query,resource-groups,resource-groups,,,,none
resource-groups.group_resource,resource-groups,resource-groups,,,,none
resourcegroupstaggingapi.report_creation,resourcegroupstaggingapi,resourcegroupstaggingapi,,,,none
resourcegroupstaggingapi.resource,resourcegroupstaggingapi,resourcegroupstaggingapi,,,,none
rolesanywhere.crl,rolesanywhere,rolesanywhere,,,,none
rolesanywhere.profile,rolesanywhere,rolesanywhere,,,,none
rolesanywhere.subject,rolesanywhere,rolesanywhere,,,,none
rolesanywhere.trust_anchor,rolesanywhere,rolesanywhere,,,,none
route53-recovery-cluster.routing_control,route53-recovery-cluster,route53-recovery-cluster,,,,none
route53-recovery-cluster.routing_control_state,route53-recovery-cluster,route53-recovery-cluster,,,,none
route53-recovery-control-config.cluster,route53-recovery-control-config,route53-recovery-control-config,,,,none
route53-recovery-control-config.control_panel,route53-recovery-control-config,route53-recovery-control-config,,,,none
route53-recovery-control-config.resource_policy,route53-recovery-control-config,route53-recovery-control-config,,,,none
route53-recovery-control-config.routing_control,route53-recovery-control-config,route53-recovery-control-config,,,,none
route53-recovery-control-config.safety_rule,route53-recovery-control-config,route53-recovery-control-config,,,,none
route53-recovery-readiness.cell,route53-recovery-readiness,route53-recovery-readiness,,,,none
route53-recovery-readiness.readiness_check,route53-recovery-readiness,route53-recovery-readiness,,,,none
route53-recovery-readiness.readiness_check_resource_status,route53-recovery-readiness,route53-recovery-readiness,,,,none
route53-recovery-readiness.readiness_check_status,route53-recovery-readiness,route53-recovery-readiness,,,,none
route53-recovery-readiness.recovery_group,route53-recovery-readiness,route53-recovery-readiness,,,,none
route53-recovery-readiness.resource_set,route53-recovery-readiness,route53-recovery-readiness,,,,none
route53-recovery-readiness.rule,route53-recovery-readiness,route53-recovery-readiness,,,,none
route53domains.contact_reachability_status,route53domains,route53domains,,,,none
route53domains.domain_detail,route53domains,route53domains,,,,none
route53domains.domain_suggestion,route53domains,route53domains,,,,none
route53domains.operation,route53domains,route53domains,,,,none
route53domains.operation_detail,route53domains,route53domains,,,,none
route53domains.r53domain,route53domains,route53domains,,,,none
route53domains.tags_for_domain,route53domains,route53domains,,,,none
route53profiles.profile,route53profiles,route53profiles,,,,none
route53profiles.profile_association,route53profiles,route53profiles,,,,none
route53profiles.profile_resource_association,route53profiles,route53profiles,,,,none
route53resolver.firewall_config,route53resolver,route53resolver,,,,none
route53resolver.firewall_domain_list,route53resolver,route53resolver,,,,none
route53resolver.firewall_rule,route53resolver,route53resolver,,,,none
route53resolver.firewall_rule_group,route53resolver,route53resolver,,,,none
route53resolver.firewall_rule_group_association,route53resolver,route53resolver,,,,none
route53resolver.firewall_rule_group_policy,route53resolver,route53resolver,,,,none
route53resolver.outpost_resolver,route53resolver,route53resolver,,,,none
route53resolver.resolver_config,route53resolver,route53resolver,,,,none
route53resolver.resolver_dnssec_config,route53resolver,route53resolver,,,,none
route53resolver.resolver_endpoint,route53resolver,route53resolver,,,,none
route53resolver.resolver_endpoint_ip_address,route53resolver,route53resolver,,,,none
route53resolver.resolver_query_log_config,route53resolver,route53resolver,,,,none
route53resolver.resolver_query_log_config_association,route53resolver,route53resolver,,,,none
route53resolver.resolver_query_log_config_policy,route53resolver,route53resolver,,,,none
route53resolver.resolver_query_logging_config,route53resolver,route53resolver,,,,none
route53resolver.resolver_rule,route53resolver,route53resolver,,,,none
route53resolver.resolver_rule_association,route53resolver,route53resolver,,,,none
route53resolver.resolver_rule_policy,route53resolver,route53resolver,,,,none
rtbfabric.inbound_external_link,rtbfabric,rtbfabric,,,,none
rtbfabric.link,rtbfabric,rtbfabric,,,,none
rtbfabric.outbound_external_link,rtbfabric,rtbfabric,,,,none
rtbfabric.requester_gateway,rtbfabric,rtbfabric,,,,none
rtbfabric.responder_gateway,rtbfabric,rtbfabric,,,,none
rum.app_monitor,rum,rum,,,,none
rum.app_monitor_data,rum,rum,,,,none
rum.rum_metrics_destination,rum,rum,,,,none
s3control.access_grant,s3control,s3control,,,,none
s3control.access_grants_instance,s3control,s3control,,,,none
s3control.access_grants_instance_for_prefix,s3control,s3control,,,,none
s3control.access_grants_instance_resource_policy,s3control,s3control,,,,none
s3control.access_grants_location,s3control,s3control,,,,none
s3control.access_point,s3control,s3control,,,,none
s3control.access_point_configuration_for_object_lambda,s3control,s3control,,,,none
s3control.access_point_for_object_lambda,s3control,s3control,,,,none
s3control.access_point_policy,s3control,s3control,,,,none
s3control.access_point_policy_for_object_lambda,s3control,s3control,,,,none
s3control.access_point_policy_status,s3control,s3control,,,,none
s3control.access_point_policy_status_for_object_lambda,s3control,s3control,,,,none
s3control.access_points_for_directory_bucket,s3control,s3control,,,,none
s3control.access_points_for_object_lambda,s3control,s3control,,,,none
s3control.bucket,s3control,s3control,,,,none
s3control.bucket_lifecycle_configuration,s3control,s3control,,,,none
s3control.bucket_policy,s3control,s3control,,,,none
s3control.bucket_replication,s3control,s3control,,,,none
s3control.bucket_tagging,s3control,s3control,,,,none
s3control.bucket_versioning,s3control,s3control,,,,none
s3control.caller_access_grant,s3control,s3control,,,,none
s3control.data_access,s3control,s3control,,,,none
s3control.job,s3control,s3control,,,,none
s3control.job_tagging,s3control,s3control,,,,none
s3control.multi_region_access_point,s3control,s3control,,,,none
s3control.multi_region_access_point_operation,s3control,s3control,,,,none
s3control.multi_region_access_point_policy,s3control,s3control,,,,none
s3control.multi_region_access_point_policy_status,s3control,s3control,,,,none
s3control.multi_region_access_point_route,s3control,s3control,,,,none
s3control.public_access_block,s3control,s3control,,,,none
s3control.regional_bucket,s3control,s3control,,,,none
s3control.storage_lens_configuration,s3control,s3control,,,,none
s3control.storage_lens_configuration_tagging,s3control,s3control,,,,none
s3control.storage_lens_group,s3control,s3control,,,,none
s3express.directory_bucket,s3express,s3express,,,,none
s3outposts.shared_endpoint,s3outposts,s3outposts,,,,none
s3tables.table,s3tables,s3tables,,,,none
s3tables.table,s3tables,s3tables,,,,none
s3tables.table_bucket,s3tables,s3tables,,,,none
s3tables.table_bucket_metrics_configuration,s3tables,s3tables,,,,none
s3tables.table_bucket_policy,s3tables,s3tables,,,,none
