resource,service,id_field,name_field,id_prefix,arn_field,arn_type,arn_separator,global_resource,has_arn,strategy
service-quota,service-quotas,QuotaCode,QuotaName,,QuotaArn,,/,false,true,field
service-quota-request,service-quotas,Id,Id,,,request,/,false,true,construct
ses-configuration-set,ses,Name,Name,,,configuration-set,/,false,true,construct
ses-email-identity,sesv2,IdentityName,IdentityName,,,identity,/,false,true,construct
ses-receipt-rule-set,ses,Name,Name,,,receipt-rule-set,/,false,true,construct
shield-attack,shield,AttackId,AttackId,,,,/,false,false,none
shield-protection,shield,Id,Name,,,,/,false,false,none
simpledb,sdb,DomainName,DomainName,,,domain,/,false,true,construct
snowball,snowball,JobId,Description,,,,/,false,false,none
snowball-cluster,snowball,ClusterId,Description,,,,/,false,false,none
sns,sns,TopicArn,DisplayName,,,,/,false,true,construct
sns-subscription,sns,SubscriptionArn,SubscriptionArn,,SubscriptionArn,,/,false,true,field
sqs,sqs,QueueUrl,QueueUrl,,QueueArn,,/,false,true,field
ssm-activation,ssm,ActivationId,Description,,,,/,false,false,none
ssm-data-sync,ssm,SyncName,SyncName,,,resource-data-sync,/,false,true,construct
ssm-document,ssm,Name,Name,,,document,/,false,true,construct
ssm-managed-instance,ssm,InstanceId,Name,,,managed-instance,/,false,true,construct
ssm-parameter,ssm,Name,Name,,,parameter,/,false,true,construct
ssm-patch-group,ssm,PatchGroup,PatchGroup,,,,/,false,false,none
ssm-session-manager,ssm,SessionId,SessionId,,,session,/,false,true,construct
step-machine,stepfunctions,stateMachineArn,name,,stateMachineArn,stateMachine,/,false,true,field
storage-gateway,storagegateway,GatewayARN,GatewayName,,GatewayARN,gateway,/,false,true,field
streaming-distribution,cloudfront,Id,DomainName,,ARN,streaming-distribution,/,false,true,field
subnet,ec2,SubnetId,SubnetId,subnet-,,subnet,/,false,true,construct
support-case,support,caseId,displayId,,,,/,true,false,none
swf-domain,swf,name,name,,arn,,/,false,true,field
timestream-database,timestream-write,Arn,DatabaseName,,Arn,,/,false,true,field
timestream-table,timestream-write,Arn,TableName,,Arn,,/,false,true,field
transfer-server,transfer,ServerId,ServerId,,,server,/,false,true,construct
transfer-user,transfer,UserName,UserName,,Arn,user,/,false,true,field
transit-attachment,ec2,TransitGatewayAttachmentId,TransitGatewayAttachmentId,tgw-attach-,,,/,false,false,none
transit-gateway,ec2,TransitGatewayId,TransitGatewayId,tgw-,TransitGatewayArn,,/,false,true,field
user-pool,cognito-idp,Id,Name,,Arn,userpool,/,false,true,field
vpc,ec2,VpcId,VpcId,vpc-,,vpc,/,false,true,construct
vpc-endpoint,ec2,VpcEndpointId,VpcEndpointId,vpce-,,vpc-endpoint,/,false,true,construct
vpn-connection,ec2,VpnConnectionId,VpnConnectionId,vpn-,,vpn-connection,/,false,true,construct
vpn-gateway,ec2,VpnGatewayId,VpnGatewayId,vgw-,,vpn-gateway,/,false,true,construct
waf,waf,WebACLId,Name,,,webacl,/,true,true,construct
waf-regional,waf-regional,WebACLId,Name,,WebACLArn,webacl,/,false,true,field
wafv2,wafv2,Id,Name,,ARN,webacl,/,false,true,field
workspaces,workspaces,WorkspaceId,WorkspaceId,,,workspace,/,false,true,construct
workspaces-directory,workspaces,DirectoryId,DirectoryName,,,directory,/,false,true,construct
workspaces-image,workspaces,ImageId,ImageId,,,workspaceimage,/,false,true,construct
workspaces-web,workspaces-web,portalArn,displayName,,portalArn,portal,/,false,true,field
xray-group,xray,GroupName,GroupName,,GroupARN,group,/,false,true,field
xray-rule,xray,RuleName,RuleName,,RuleARN,sampling-rule,/,false,true,field
