source_resource,source_path,path_kind,target_resource,edge_type,source,confidence,evidence,needs_validation,also_declared_by
fsx-backup,KmsKeyId,scalar,kms-key,encrypted-by,c7n,high,aws.fsx-backup.filters.kms-key,false,doc
fsx-backup,Volume.AdministrativeActions[].TargetFileSystemValues.KmsKeyId,list_dict,kms-key,encrypted-by,doc,medium,fsx.DescribeBackups: 'Key Management Service',true,
fsx-backup,FileSystem.AdministrativeActions[].TargetFileSystemValues.VpcId,list_dict,vpc,contained-in,doc,medium,fsx.DescribeBackups: 'primary virtual private cloud',true,
fsx-backup,FileSystem.VpcId,dotted,vpc,contained-in,doc,medium,fsx.DescribeBackups: 'primary virtual private cloud',true,
fsx-backup,Volume.AdministrativeActions[].TargetFileSystemValues.VpcId,list_dict,vpc,contained-in,doc,medium,fsx.DescribeBackups: 'primary virtual private cloud',true,
glue-catalog,,,kms-key,encrypted-by,c7n,declared-no-path,aws.glue-catalog.filters.kms-key,true,
glue-connection,PhysicalConnectionRequirements.SecurityGroupIdList[],list_scalar,security-group,protected-by,c7n,high,aws.glue-connection.filters.security-group,false,
glue-connection,PhysicalConnectionRequirements.SubnetId,dotted,subnet,contained-in,c7n,high,aws.glue-connection.filters.subnet,false,
glue-crawler,CrawlerSecurityConfiguration,scalar,glue-security-configuration,references,c7n,high,aws.glue-crawler.filters.security-config,false,
glue-dev-endpoint,SecurityConfiguration,scalar,glue-security-configuration,references,c7n,high,aws.glue-dev-endpoint.filters.security-config,false,
glue-dev-endpoint,SubnetId,scalar,subnet,contained-in,c7n,high,aws.glue-dev-endpoint.filters.subnet,false,
glue-dev-endpoint,VpcId,scalar,vpc,contained-in,doc,medium,glue.GetDevEndpoints: 'virtual private cloud',true,
glue-job,SecurityConfiguration,scalar,glue-security-configuration,references,c7n,high,aws.glue-job.filters.security-config,false,
glue-ml-transform,TransformEncryption.MlUserDataEncryption.KmsKeyId,dotted,kms-key,encrypted-by,doc,medium,glue.GetMLTransforms: 'customer-provided KMS key',true,
glue-security-configuration,,,kms-key,encrypted-by,c7n,declared-no-path,aws.glue-security-configuration.filters.kms-key,true,
glue-workflow,SecurityConfiguration,scalar,glue-security-configuration,references,c7n,high,aws.glue-workflow.filters.security-config,false,
inspector2-finding,resources[].details.awsEc2Instance.subnetId,list_dict,subnet,contained-in,doc,medium,inspector2.ListFindings: 'Amazon EC2 instance',true,
